Player;_x;Apps_x;Mins_x;Goals_x;Assists_x;Yel;Red;SpG_x;PS%_x;AerialsWon;MotM;Rating_x;_y;Apps_y;Mins_y;Tackles;Inter;Fouls;Offsides;Clear;Drb_x;Blocks;OwnG;Rating_y;_x;Apps_x;Mins_x;Goals_y;Assists_y;SpG_y;KeyP_x;Drb_y;Fouled;Off;Disp;UnsTch;Rating_x;_y;Apps_y;Mins_y;Assists;KeyP_y;AvgP;PS%_y;Crosses;LongB;ThrB;Rating_y
"1
Jude Bellingham
Real Madrid, 20, M(CLR)";;21;1786;16;3;5;-;2.4;89.6;1.1;6;7.88;;21;1786;1.4;0.9;1.2;-;0.5;0.7;0.2;-;7.88;;21;1786;16;3;2.4;1.8;1.8;2.9;0.1;1.5;2.1;7.88;;21;1786;3;1.8;52.7;89.6;0.1;1.6;0.3;7.88
"2
Vinícius Júnior
Real Madrid, 23, AM(L),FW";;16(1);1283;7;4;2;-;2.8;78.7;0.1;3;7.42;;16(1);1283;0.8;-;1;-;-;0.4;-;-;7.42;;16(1);1283;7;4;2.8;1.2;3.2;2.1;0.4;1.5;3.3;7.42;;16(1);1283;4;1.2;24.3;78.7;0.2;1.4;0.4;7.42
"3
Isco
Real Betis, 31, M(CLR),FW";;22;1857;6;3;7;-;2.3;86;0.5;3;7.41;;22;1857;1.3;0.4;1.1;-;0.3;0.8;-;-;7.41;;22;1857;6;3;2.3;3.1;2.3;2.8;0.1;2.1;2.8;7.41;;22;1857;3;3.1;46.5;86;1.8;2.1;0.4;7.41
"4
Iñaki Williams
Athletic Club, 29, AM(CLR),FW";;22(1);1967;9;3;3;-;2.7;72.5;1;3;7.36;;22(1);1967;0.8;0.4;0.9;-;0.8;0.6;0.2;-;7.36;;22(1);1967;9;3;2.7;1.6;1.7;1.3;0.8;1.7;2.7;7.36;;22(1);1967;3;1.6;24.5;72.5;0.7;0.3;0.2;7.36
"5
Antoine Griezmann
Atletico, 32, AM(CLR),FW";;23(1);1953;11;6;3;-;2.5;83.1;0.4;4;7.35;;23(1);1953;1;0.4;0.4;-;0.6;0.9;0.1;-;7.35;;23(1);1953;11;6;2.5;1.5;0.9;0.7;0.6;0.7;1.4;7.35;;23(1);1953;6;1.5;38.7;83.1;1;1.8;0.3;7.35
"6
Takefusa Kubo
Real Sociedad, 22, AM(CLR),FW";;19(2);1689;7;3;2;-;2;81.5;0.3;2;7.30;;19(2);1689;0.9;0.4;0.7;-;0.2;0.5;0.1;-;7.30;;19(2);1689;7;3;2;2.1;2;2;0.4;1;2.4;7.30;;19(2);1689;3;2.1;25;81.5;1.3;1;0.1;7.30
"7
Gerard Moreno
Villarreal, 31, AM(CR),FW";;22(1);1809;10;2;-;-;2.4;79.7;1;4;7.23;;22(1);1809;1;0.3;0.8;-;0.9;0.5;0.3;-;7.23;;22(1);1809;10;2;2.4;1.8;1.7;1.4;0.7;1.9;1.6;7.23;;22(1);1809;2;1.8;33.6;79.7;0.2;1.9;0.2;7.23
"8
Yangel Herrera
Girona, 26, M(C)";;19(1);1522;4;-;5;-;1.9;87.9;2.6;1;7.21;;19(1);1522;2.3;0.8;2.7;-;1.7;1.1;0.3;-;7.21;;19(1);1522;4;-;1.9;0.6;0.9;2.4;0.1;1.7;1.6;7.21;;19(1);1522;-;0.6;38.7;87.9;0.3;1.5;0.1;7.21
"9
Sávio
Girona, 19, AM(CLR)";;25(1);2096;7;7;4;-;1.1;81.8;0.2;4;7.21;;25(1);2096;1.2;0.5;0.8;-;0.2;0.3;-;-;7.21;;25(1);2096;7;7;1.1;1.1;2.6;1.4;0.5;1.3;2.8;7.21;;25(1);2096;7;1.1;25;81.8;0.7;0.5;-;7.21
"10
Toni Kroos
Real Madrid, 34, M(C)";;18(7);1652;1;7;3;-;1.2;94.4;0.2;2;7.19;;18(7);1652;1.8;0.4;0.6;-;0.1;1;0.1;-;7.19;;18(7);1652;1;7;1.2;2.1;0.1;1.3;0.1;0.2;0.3;7.19;;18(7);1652;7;2.1;72.8;94.4;1.2;7.1;0.1;7.19
"11
Aleix García
Girona, 26, DMC";;25;2230;3;5;3;1;1.2;92.1;0.4;4;7.19;;25;2230;1.4;1.2;0.9;0.1;1.3;0.7;0.5;-;7.19;;25;2230;3;5;1.2;1.7;0.4;1;-;0.4;0.7;7.19;;25;2230;5;1.7;76.2;92.1;1.7;6.7;0.1;7.19
"12
Frenkie de Jong
Barcelona, 26, D(C),DMC";;18;1566;2;-;7;-;0.4;93;1.2;2;7.18;;18;1566;2.3;0.7;1;0.3;1.4;0.6;0.4;-;7.18;;18;1566;2;-;0.4;1.1;0.7;1.2;0.1;0.9;0.8;7.18;;18;1566;-;1.1;89.4;93;0.5;2.5;0.4;7.18
"13
Ilkay Gündogan
Barcelona, 33, M(C)";;23(3);2101;5;6;3;-;1.2;89.1;0.3;2;7.13;;23(3);2101;0.7;0.6;0.4;-;0.4;0.5;0.1;-;7.13;;23(3);2101;5;6;1.2;2.8;0.8;1.1;0.2;0.5;1;7.13;;23(3);2101;6;2.8;60.4;89.1;1.1;1.8;0.3;7.13
"14
Rodrygo
Real Madrid, 23, AM(CLR),FW";;21(5);1807;8;4;2;-;2.8;89.9;0.2;2;7.13;;21(5);1807;0.4;0.2;0.3;-;0.1;0.5;-;-;7.13;;21(5);1807;8;4;2.8;1.3;1.9;1.2;0.5;0.7;2.2;7.13;;21(5);1807;4;1.3;28.2;89.9;0.3;0.2;-;7.13
"15
Federico Valverde
Real Madrid, 25, M(CLR)";;24(2);2120;1;4;1;-;1.6;91.4;0.4;3;7.12;;24(2);2120;1.3;1.2;0.4;-;0.7;0.3;0.1;-;7.12;;24(2);2120;1;4;1.6;1.4;0.6;0.5;-;0.3;0.8;7.12;;24(2);2120;4;1.4;59.2;91.4;0.2;2.3;0.1;7.12
"16
Gorka Guruzeta
Athletic Club, 27, FW";;23(2);1731;10;3;2;-;2;66.5;2.5;2;7.12;;23(2);1731;1;0.6;1.4;-;0.8;0.6;-;-;7.12;;23(2);1731;10;3;2;0.8;0.5;0.8;0.3;1;2;7.12;;23(2);1731;3;0.8;18.6;66.5;0.1;0.4;-;7.12
"17
Nico Williams
Athletic Club, 21, AM(LR)";;20(2);1562;3;6;3;1;1.7;79.6;0.2;3;7.11;;20(2);1562;1;0.1;0.6;-;0.1;0.8;0.1;-;7.11;;20(2);1562;3;6;1.7;1.6;2.6;1.2;0.5;1.8;2.3;7.11;;20(2);1562;6;1.6;19.4;79.6;1.6;0.5;0.1;7.11
"18
João Cancelo
Barcelona, 29, D(LR),M(R)";;20(2);1696;2;3;4;-;1;83.5;0.7;3;7.11;;20(2);1696;2.1;0.8;1;0.4;1.2;0.6;0.3;-;7.11;;20(2);1696;2;3;1;1.2;2;1;0.2;0.7;1.7;7.11;;20(2);1696;3;1.2;49.6;83.5;0.5;2.5;0.1;7.11
"19
Robert Lewandowski
Barcelona, 35, FW";;22(2);1950;12;5;4;-;3;71.8;1.6;2;7.09;;22(2);1950;0.2;0.2;0.8;-;0.6;0.2;0.2;-;7.09;;22(2);1950;12;5;3;0.8;0.6;1.6;0.8;0.9;2.8;7.09;;22(2);1950;5;0.8;16.4;71.8;0.1;0.3;0.1;7.09
"20
Pepelu
Valencia, 25, DMC";;25;2225;4;1;2;-;1;82.1;1.8;4;7.07;;25;2225;2.3;1.1;1.6;0.1;1.7;0.9;0.3;-;7.07;;25;2225;4;1;1;1.6;0.4;0.9;-;0.6;0.4;7.07;;25;2225;1;1.6;53.4;82.1;1.2;3.9;-;7.07
"21
Ante Budimir
Osasuna, 32, FW";;23(3);1981;13;2;4;-;2.3;55.7;5.2;4;7.06;;23(3);1981;0.7;0.2;1.3;-;0.6;0.3;0.2;-;7.06;;23(3);1981;13;2;2.3;0.3;0.3;0.8;0.8;1;2.6;7.06;;23(3);1981;2;0.3;14.1;55.7;-;-;-;7.06
"22
Mikel Merino
Real Sociedad, 27, M(C)";;17(5);1585;3;3;7;-;1;77.2;4.8;3;7.04;;17(5);1585;1.8;0.4;2.2;-;1.7;0.7;0.4;-;7.04;;17(5);1585;3;3;1;0.7;0.7;1.9;0.2;1.3;2;7.04;;17(5);1585;3;0.7;37.5;77.2;0.2;1.5;-;7.04
"23
Artem Dovbyk
Girona, 26, FW";;20(4);1578;14;5;1;-;2.2;71.5;1.2;3;7.03;;20(4);1578;0.1;-;0.7;-;0.6;-;-;-;7.03;;20(4);1578;14;5;2.2;0.7;0.5;0.3;0.7;1.3;1.3;7.03;;20(4);1578;5;0.7;9.8;71.5;-;0.2;-;7.03
"24
Raphinha
Barcelona, 27, AM(LR),FW";;9(9);797;4;6;2;1;2.2;80.7;0.4;2;7.02;;9(9);797;0.6;0.3;0.6;-;0.3;0.5;-;-;7.02;;9(9);797;4;6;2.2;1.6;0.9;0.8;0.3;0.3;1.3;7.02;;9(9);797;6;1.6;20.7;80.7;1.1;1.4;0.1;7.02
"25
Lamine Yamal
Barcelona, 16, AM(R)";;13(12);1339;3;3;2;-;1.6;83.7;0.1;3;7.02;;13(12);1339;1.6;0.4;0.6;-;0.3;0.8;-;-;7.02;;13(12);1339;3;3;1.6;0.9;1.7;1.3;0.1;0.6;1.4;7.02;;13(12);1339;3;0.9;23;83.7;0.6;0.3;-;7.02
"26
Aurélien Tchouaméni
Real Madrid, 24, D(C),DMC";;16(4);1440;2;1;5;-;1;92.3;2;-;6.99;;16(4);1440;1.3;1.1;0.6;0.1;1.6;0.3;0.5;-;6.99;;16(4);1440;2;1;1;0.4;0.3;0.8;-;0.3;0.7;6.99;;16(4);1440;1;0.4;53.6;92.3;0.2;2;-;6.99
"27
Sergio Ramos
Sevilla, 37, D(CR)";;16;1438;1;-;5;1;1;89.6;2.9;1;6.99;;16;1438;1.8;1.7;1;0.2;5.1;0.6;1;1;6.99;;16;1438;1;-;1;0.1;0.3;0.9;0.4;0.4;0.3;6.99;;16;1438;-;0.1;56.4;89.6;-;5.9;-;6.99
"28
João Félix
Barcelona, 24, AM(CL),FW";;15(4);1138;5;2;3;-;2.3;83.9;0.4;2;6.98;;15(4);1138;0.9;0.4;0.8;-;0.3;0.5;0.1;-;6.98;;15(4);1138;5;2;2.3;0.7;1.2;2.3;0.4;1.2;1.8;6.98;;15(4);1138;2;0.7;22.9;83.9;0.1;0.4;0.2;6.98
